"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 1860",6071822.14876,3526241.52202,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1890",6071813.735,3526238.02952,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1910",6071805.79748,3526258.50831,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1990",6071802.30497,3526287.58607,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2000",6071811.43312,3526290.76108,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2010",6071815.66646,3526280.17773,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2020",6071823.60397,3526285.07253,"Betula pendula 'Tristis', Hängebirke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2070",6071778.75701,3526264.69957,"Carpinus betulus, Gemeine Hainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2080",6071762.08823,3526236.91826,"Fagus sylvatica, Rotbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2100",6071759.57468,3526219.32344,"Tilia x vulgaris, Holländische Linde","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2110",6071751.63716,3526215.48697,"Tilia x vulgaris, Holländische Linde","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 2120",6071743.17048,3526212.31196,"Tilia x vulgaris, Holländische Linde","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
